customer,gender,income,claim,cartype,response
FD73388,F,16181,1261.319869,SUV,1
DQ19344,M,33046,181.538354,Sedan,0
UW32074,F,0,307.2,Sedan,0
PH47195,M,74271,174.327925,Sports,0
EY83434,M,0,580.8,SUV,0
BN46866,M,45345,99.039453,Sedan,0
PJ13204,F,0,427.2,Sedan,0
YP79029,M,34179,770.4,Sports,0
JK74110,M,98333,459.048775,Sedan,0
UK59698,F,0,297.6,Sedan,0
QR87004,F,25141,25.438063,Sedan,0
ZT60177,F,0,932.654942,Sports,0
EZ39383,F,55436,321.6,Sedan,0
QE46704,M,94178,226.10336,Sedan,0
XU97999,M,68997,206.926432,Sedan,0
SM10031,M,0,398.421636,Sedan,0
FN80010,F,25404,578.175234,SUV,0
VX39856,F,89398,82.409922,Sedan,0
QW47320,F,14290,1300.8,SUV,1
EV95033,M,79751,392.235698,Sedan,1
PE47967,F,79055,177.635183,SUV,0
WP41146,F,0,345.6,Sedan,0
OQ90898,M,90279,372.175592,SUV,0
WM87004,M,0,734.4,SUV,0
OT47603,M,0,804.811859,Sports,0
SF38922,M,33760,123.491865,SUV,0
RZ51338,M,28992,355.2,Sedan,0
AT24793,M,25352,830.4,Sports,0
WX49215,M,16154,91.355165,Sedan,0
QY74517,F,0,525.6,Sedan,0
SC43870,M,0,475.2,Sedan,0
AL21967,M,74243,71.311211,Sedan,0
AA71604,F,87560,470.4,Sedan,0
TO29918,F,0,1397.954723,Sports,0
EV53200,M,60228,286.102971,SUV,0
ZG18090,M,24124,436.8,Sedan,0
KL27226,M,58776,478.750667,Sedan,0
CR92272,F,57664,344.92729,SUV,0
HB21182,F,20200,312,Sedan,0
SR74929,F,0,1443.455106,SUV,0
FH22095,M,39377,307.2,Sedan,0
QX24179,M,41878,161.695519,Sedan,0
SD42668,M,0,532.8,Sedan,0
TP41703,M,0,496.8,Sedan,0
OU76593,M,0,460.8,Sedan,0
PK79296,F,28995,321.6,Sedan,0
FN33339,F,53787,666.092015,Sedan,0
ED44765,F,25318,302.4,Sedan,0
UK59933,M,0,504,Sedan,0
TA66375,F,51643,1358.4,Sedan,1
GP66031,F,83758,106.591949,Sedan,0
CD27895,F,0,340.8,Sedan,0
UU93074,M,32435,1767.348807,Sedan,0
TL40288,F,0,729.595208,Sedan,0
